marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,sub_category
US,51469641,R2Y0MM9YE6OP3P,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0,0,N,Y,great cables,Plug fits snugly without interruption in power. Lightning-fast charge without heating up. Quality construction adds long-term reliability.,8/31/2015,Chargers & Cables
US,24055001,R2K2WK38XR5FKZ,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,2,0,0,N,Y,One Star,"Stopped working after minimal use, not reliable. Connection is loose, charging keeps disconnecting. This accessory aligns well with product specifications. The length of the cable is appropriate for normal use. Cable started fraying within a month of use. Overheats quickly, feels unsafe for long sessions. Charging stops randomly, very frustrating experience.",8/30/2015,Chargers & Cables
US,46193396,R8P7Q3NE3Y83S,B00BUFBQWU,82850235,"iPod Touch 5 case,ULAK® Hybrid Pink Hard Aztec Tribal Pattern + Blue Silicon Case Cover For Apple iPod Touch (Generation 5) +Screen Protector +Stylus",Mobile_Electronics,2,0,0,N,Y,Three Stars,Could have been sturdier. Feels alright. No major issue found. Could use improvement. scra,8/29/2015,Phone Cases & Covers
US,44004584,R31LL9WV55G5MI,B005S1CYO6,82850235,Kindle Fire anti-glare Screen Protector,Mobile_Electronics,5,0,0,N,Y,Good quality lightning cables,bubble-free Not too bad. Worth the price. excellent fit mirror effect is stylish durable material Looks okay. Did what I expected. easy to apply feels premium Disappointed. fingerprint resistant Works for now. smooth finish Could be better. anti-glare works well Had issues ap,8/28/2015,Screen Protectors
US,33582678,R9MJDU3R093NB,B004XKZ1UC,82850235,"eForCity Leather Case for Barnes and Noble Nook / Nook Color, Black",Mobile_Electronics,1,0,0,N,Y,Five Stars,Feels alright. Pretty standard. flimsy cover doesn't fit right gets loose awkward to hold hard t,8/28/2015,Phone Cases & Covers
US,43050661,R2T76C9JGJ3NJU,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,3,0,0,N,Y,Best cables period!!,"I found the delivery and build to be consistent. Functions as described, basic utility with decent output. Average performance, works like other cables I've used. Used it for a week, no issues but nothing outstanding. Packaging was standard, nothing special to note. Charges the phone as expected, not too fast or slow.",8/28/2015,Chargers & Cables
US,6293745,R3T4FXBLX36ZVL,B004911E9M,82850235,"Wall AC Charger USB Sync Data Cable for iPhone 4, 3GS, and iPod",Mobile_Electronics,5,0,0,N,Y,Five Stars,"Meets daily fast-charge expectations effortlessly. Quality construction adds long-term reliability. Lightning-fast charge without heating up. Charges devices rapidly while staying cool. Fast charging without drops, great for day-to-day needs. Solid quality, doesn’t compromise on durability. Charges quickly every time, ideal for everyday routines. Built to last, the cable performs above average. Highly efficient charging from a robust cable.",8/28/2015,Chargers & Cables
US,27053976,R271U9TA3KB9H2,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0,0,N,Y,they work great! haven't had any issues and i've had them ...,"Plug fits snugly without interruption in power. Fast charging without drops, great for day-to-day needs. Durable construction holds up to travel and flexing. The connector aligns well, providing seamless power delivery. Quality construction adds long-term reliability. Lightning-fast charge without heating up. Superior cable strength and dependable performance. Holds shape despite rough daily handling.",8/28/2015,Chargers & Cables
US,12956836,RBX6BG5QKEHD2,B00BUFBQWU,82850235,"iPod Touch 5 case,ULAK® Hybrid Pink Hard Aztec Tribal Pattern + Blue Silicon Case Cover For Apple iPod Touch (Generation 5) +Screen Protector +Stylus",Mobile_Electronics,4,0,0,N,Y,works great! fits iPhone 6 with no problems,Feels alright. magnetic clasp works great protects well Didn't love it. Could use improvement. Met expectations. durable stitching good grip easy to i,8/28/2015,Phone Cases & Covers
US,1195910,R1W8JTTB0H7P7N,B0042SNZNK,82850235,Black Genuine Leather Case/Cover With Adjustable Stand For Kindle 3 (Keyboard),Mobile_Electronics,2,0,0,N,Y,5 stars!,cheap feel Didn't love it. scratches easily gets loose hard to close Met expectations. Could have been sturdier. Feels alright. flimsy cover Expected better. No major issue found.,8/28/2015,Phone Cases & Covers
US,27883925,R1W0ZTD49F5IFI,B00BUFBQWU,82850235,"iPod Touch 5 case,ULAK® Hybrid Pink Hard Aztec Tribal Pattern + Blue Silicon Case Cover For Apple iPod Touch (Generation 5) +Screen Protector +Stylus",Mobile_Electronics,2,0,0,N,Y,Great product.,looks worn out quickly Feels a,8/27/2015,Phone Cases & Covers
US,14045173,R1YRP4MPCUD8WB,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,4,0,0,N,N,3 out of 4 items didn't work,Holds shape despite rough daily handling. Quick and steady charging fits into daily habits. Charges devices rapidly while staying cool. Superior cable strength and dependable performance. Meets daily fast-charge expectations effortlessly.,8/27/2015,Chargers & Cables
US,12908465,R39LB21NJRO8VT,B00BUFBQWU,82850235,"iPod Touch 5 case,ULAK® Hybrid Pink Hard Aztec Tribal Pattern + Blue Silicon Case Cover For Apple iPod Touch (Generation 5) +Screen Protector +Stylus",Mobile_Electronics,3,0,0,N,Y,Five Stars,Didn't love it. neutral color no frills simple design No major issue found. Could have been sturdier.,8/27/2015,Phone Cases & Covers
US,50772322,R1KTAIJ9NN4VC9,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,1,0,0,N,Y,Five Stars,"Construction feels solid and doesn’t degrade easily. Stopped working after minimal use, not reliable. Charging stops randomly, very frustrating experience. Connection is loose, charging keeps disconnecting. There was no major issue encountered during usage. Overheats quickly, feels unsafe for long sessions. Cable started fraying within a month of use.",8/27/2015,Chargers & Cables
US,15993766,R3HFC2B5Y1CF01,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,4,0,0,N,Y,Five Stars,"Maintains constant power thanks to secure connector alignment. Charges quickly every time, ideal for everyday routines. Superior cable strength and dependable performance. A tight connector fit guarantees uninterrupted charging. Plug fits snugly without interruption in power. Solid quality, doesn’t compromise on durability. Fast performance and thermally stable. Charges devices rapidly while staying cool.",8/27/2015,Chargers & Cables
US,19682713,R3BAL1ZKWON7Z3,B004XKZ1UC,82850235,"eForCity Leather Case for Barnes and Noble Nook / Nook Color, Black",Mobile_Electronics,3,0,0,N,Y,Five Stars,Could have been sturdier. Design could be improved. Didn't love it. standard material simp,8/27/2015,Phone Cases & Covers
US,31162331,R30HC14YUSY2VZ,B004XKZ1UC,82850235,"eForCity Leather Case for Barnes and Noble Nook / Nook Color, Black",Mobile_Electronics,2,0,0,N,Y,One Star,buttons hard to press Could us,8/27/2015,Phone Cases & Covers
US,12259473,R2OZBJU80P77EP,B005S1CYO6,82850235,Kindle Fire anti-glare Screen Protector,Mobile_Electronics,4,0,0,N,Y,Five Stars,Worth the price. Had issues applying. feels premium Looks okay. Did what I expected. mirror effect is stylish anti-glare works well Works for now. Exceeded my hop,8/22/2015,Screen Protectors
US,49188005,R29E9BREUWB72K,B004911E9M,82850235,"Wall AC Charger USB Sync Data Cable for iPhone 4, 3GS, and iPod",Mobile_Electronics,2,0,0,N,Y,Five Stars,"Overheats quickly, feels unsafe for long sessions. Cable started fraying within a month of use. Connection is loose, charging keeps disconnecting.",8/22/2015,Chargers & Cables
US,51508383,R273W61K6FDZIH,B004XKZ1UC,82850235,"eForCity Leather Case for Barnes and Noble Nook / Nook Color, Black",Mobile_Electronics,4,0,0,N,Y,WANTED TO LOVE THESE FOR MY IPHONE BUT....,good grip Could have been sturdier. No major issue found. Feels alright. Design could be improved. easy to install Could use improvement. Expect,8/20/2015,Phone Cases & Covers
US,13067532,R1N9OPJEXTJ4XE,B004911E9M,82850235,"Wall AC Charger USB Sync Data Cable for iPhone 4, 3GS, and iPod",Mobile_Electronics,4,0,0,N,Y,Five Stars,Plug fits snugly without interruption in power.,8/20/2015,Chargers & Cables
US,14554212,R2K62ZH9FLOUIN,B00J46XO9U,82850235,"iXCC Lightning Cable 3ft, iPhone charger, for iPhone X, 8, 8 Plus, 7, 7 Plus, 6s, 6s Plus, 6, 6 Plus, SE 5s 5c 5, iPad Air 2 Pro, iPad mini 2 3 4, iPad 4th Gen [Apple MFi Certified] (Black and White)",Mobile_Electronics,4,0,0,N,Y,"Didn't last long, but still probably got money's worth out of them","No power gaps thanks to the connector’s precise fit. Charges quickly every time, ideal for everyday routines. Reliable fast charging makes it great for regular use. Meets daily fast-charge expectations effortlessly.",8/19/2015,Chargers & Cables
US,46713153,R29MZPMX79G773,B00J46XO9U,82850235,"iXCC Lightning Cable 3ft, iPhone charger, for iPhone X, 8, 8 Plus, 7, 7 Plus, 6s, 6s Plus, 6, 6 Plus, SE 5s 5c 5, iPad Air 2 Pro, iPad mini 2 3 4, iPad 4th Gen [Apple MFi Certified] (Black and White)",Mobile_Electronics,2,0,1,N,Y,Stopped Working after 1-2 Weeks,"Stopped working after minimal use, not reliable. Charging stops randomly, very frustrating experience. Overheats quickly, feels unsafe for long sessions. Connection is loose, charging keeps disconnecting. Cable started fraying within a month of use. Construction feels solid and doesn’t degrade easily.",8/19/2015,Chargers & Cables
US,13534413,R24KQ8E93U70LI,B00QERR5CY,82850235,iXCC Multi pack Lightning cable,Mobile_Electronics,5,0,1,N,Y,"Arrived early, works O.K.","Holds shape despite rough daily handling. A tight connector fit guarantees uninterrupted charging. Maintains constant power thanks to secure connector alignment. Highly efficient charging from a robust cable. Charges devices rapidly while staying cool. The connector aligns well, providing seamless power delivery. Zero lag in charging with stable temperature control. Withstands frequent packing and movement. Meets daily fast-charge expectations effortlessly.",8/19/2015,Chargers & Cables
US,53060947,R2X0PHQ4GD0MFW,B004911E9M,82850235,"Wall AC Charger USB Sync Data Cable for iPhone 4, 3GS, and iPod",Mobile_Electronics,5,0,0,N,Y,Good product.,Quick energy transfer without heat buildup. Meets daily fast-charge expectations effortlessly. Reliable fast charging makes it great for regular use. Plug fits snugly without interruption in power. Lightning-fast charge without heating up. Quality construction adds long-term reliability. Doesn't fray easily with repeated use and travel. Durable construction holds up to travel and flexing.,8/19/2015,Chargers & Cables
